Date,mmm yy,week no,day_type
1-May-22,May-22,W 19,weekend
2-May-22,May-22,W 19,weekeday
3-May-22,May-22,W 19,weekeday
4-May-22,May-22,W 19,weekeday
5-May-22,May-22,W 19,weekeday
6-May-22,May-22,W 19,weekeday
7-May-22,May-22,W 19,weekend
8-May-22,May-22,W 20,weekend
9-May-22,May-22,W 20,weekeday
10-May-22,May-22,W 20,weekeday
11-May-22,May-22,W 20,weekeday
12-May-22,May-22,W 20,weekeday
13-May-22,May-22,W 20,weekeday
14-May-22,May-22,W 20,weekend
15-May-22,May-22,W 21,weekend
16-May-22,May-22,W 21,weekeday
17-May-22,May-22,W 21,weekeday
18-May-22,May-22,W 21,weekeday
19-May-22,May-22,W 21,weekeday
20-May-22,May-22,W 21,weekeday
21-May-22,May-22,W 21,weekend
22-May-22,May-22,W 22,weekend
23-May-22,May-22,W 22,weekeday
24-May-22,May-22,W 22,weekeday
25-May-22,May-22,W 22,weekeday
26-May-22,May-22,W 22,weekeday
27-May-22,May-22,W 22,weekeday
28-May-22,May-22,W 22,weekend
29-May-22,May-22,W 23,weekend
30-May-22,May-22,W 23,weekeday
31-May-22,May-22,W 23,weekeday
1-Jun-22,Jun-22,W 23,weekeday
2-Jun-22,Jun-22,W 23,weekeday
3-Jun-22,Jun-22,W 23,weekeday
4-Jun-22,Jun-22,W 23,weekend
5-Jun-22,Jun-22,W 24,weekend
6-Jun-22,Jun-22,W 24,weekeday
7-Jun-22,Jun-22,W 24,weekeday
8-Jun-22,Jun-22,W 24,weekeday
9-Jun-22,Jun-22,W 24,weekeday
10-Jun-22,Jun-22,W 24,weekeday
11-Jun-22,Jun-22,W 24,weekend
12-Jun-22,Jun-22,W 25,weekend
13-Jun-22,Jun-22,W 25,weekeday
14-Jun-22,Jun-22,W 25,weekeday
15-Jun-22,Jun-22,W 25,weekeday
16-Jun-22,Jun-22,W 25,weekeday
17-Jun-22,Jun-22,W 25,weekeday
18-Jun-22,Jun-22,W 25,weekend
19-Jun-22,Jun-22,W 26,weekend
20-Jun-22,Jun-22,W 26,weekeday
21-Jun-22,Jun-22,W 26,weekeday
22-Jun-22,Jun-22,W 26,weekeday
23-Jun-22,Jun-22,W 26,weekeday
24-Jun-22,Jun-22,W 26,weekeday
25-Jun-22,Jun-22,W 26,weekend
26-Jun-22,Jun-22,W 27,weekend
27-Jun-22,Jun-22,W 27,weekeday
28-Jun-22,Jun-22,W 27,weekeday
29-Jun-22,Jun-22,W 27,weekeday
30-Jun-22,Jun-22,W 27,weekeday
1-Jul-22,Jul-22,W 27,weekeday
2-Jul-22,Jul-22,W 27,weekend
3-Jul-22,Jul-22,W 28,weekend
4-Jul-22,Jul-22,W 28,weekeday
5-Jul-22,Jul-22,W 28,weekeday
6-Jul-22,Jul-22,W 28,weekeday
7-Jul-22,Jul-22,W 28,weekeday
8-Jul-22,Jul-22,W 28,weekeday
9-Jul-22,Jul-22,W 28,weekend
10-Jul-22,Jul-22,W 29,weekend
11-Jul-22,Jul-22,W 29,weekeday
12-Jul-22,Jul-22,W 29,weekeday
13-Jul-22,Jul-22,W 29,weekeday
14-Jul-22,Jul-22,W 29,weekeday
15-Jul-22,Jul-22,W 29,weekeday
16-Jul-22,Jul-22,W 29,weekend
17-Jul-22,Jul-22,W 30,weekend
18-Jul-22,Jul-22,W 30,weekeday
19-Jul-22,Jul-22,W 30,weekeday
20-Jul-22,Jul-22,W 30,weekeday
21-Jul-22,Jul-22,W 30,weekeday
22-Jul-22,Jul-22,W 30,weekeday
23-Jul-22,Jul-22,W 30,weekend
24-Jul-22,Jul-22,W 31,weekend
25-Jul-22,Jul-22,W 31,weekeday
26-Jul-22,Jul-22,W 31,weekeday
27-Jul-22,Jul-22,W 31,weekeday
28-Jul-22,Jul-22,W 31,weekeday
29-Jul-22,Jul-22,W 31,weekeday
30-Jul-22,Jul-22,W 31,weekend
31-Jul-22,Jul-22,W 32,weekend
